"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 19:33:55 UTC 2024","Thu Jun 06 19:33:58 UTC 2024","2674","tests","Login","","","","test_login_with_empty_email","Test login with empty email field"
"passed","Thu Jun 06 19:31:15 UTC 2024","Thu Jun 06 19:31:27 UTC 2024","11592","tests","test_checkout","","","","test_edit_billing_address","Can edit billing address on the checkout/delivery page"
"passed","Thu Jun 06 19:29:38 UTC 2024","Thu Jun 06 19:29:43 UTC 2024","5562","tests","test_basket_page","","","","test_choose_pickup_store","Test that pickup store can be selected, Choose store button changes to Change store"
"passed","Thu Jun 06 19:33:08 UTC 2024","Thu Jun 06 19:33:12 UTC 2024","4247","tests","test_favourites","TestFavourites","","","test_delete_from_favourites","Test if a product can be removed from Favorites on the favourites page"
"passed","Thu Jun 06 19:35:10 UTC 2024","Thu Jun 06 19:35:17 UTC 2024","7089","tests","test_product_listing_page","","","","test_apply_color_filter","Test that product total and color name in selected filter are correct after applying the color filter"
"passed","Thu Jun 06 19:33:58 UTC 2024","Thu Jun 06 19:34:01 UTC 2024","2786","tests","Login","","","","test_login_with_empty_password","Test login with empty password field"
"skipped","Thu Jun 06 19:36:39 UTC 2024","Thu Jun 06 19:36:52 UTC 2024","13300","tests","Registration","","","","test_registration","Test register a new user (Happy path)"
"passed","Thu Jun 06 19:36:06 UTC 2024","Thu Jun 06 19:36:12 UTC 2024","5904","tests","test_product_page","","","","test_add_product_to_mini_cart","Test that title, size, color and price of product added to cart on PDP and in the mini cart are the same"
"passed","Thu Jun 06 19:32:45 UTC 2024","Thu Jun 06 19:32:53 UTC 2024","7609","tests","test_favourites","TestFavourites","","","test_add_to_favourites_from_pdp_as_guest","Test As a guest, add product to Favorites from PDP and check the favorites page"
"passed","Thu Jun 06 19:36:12 UTC 2024","Thu Jun 06 19:36:19 UTC 2024","7063","tests","test_product_page","","","","test_add_two_products_to_mini_cart","Test that product count and Total in the mini basket and basket icon count is calculated correctly for two products"
"passed","Thu Jun 06 19:35:29 UTC 2024","Thu Jun 06 19:35:35 UTC 2024","6183","tests","test_product_listing_page","","","","test_back_to_top_button","Test Back to Top button"
"passed","Thu Jun 06 19:28:47 UTC 2024","Thu Jun 06 19:28:53 UTC 2024","6539","tests","test_account_page","TestAccountPage","","","test_edit_with_empty_fields","Test edit user info with empty fields"
"passed","Thu Jun 06 19:36:57 UTC 2024","Thu Jun 06 19:36:59 UTC 2024","2670","tests","Registration","","","","test_alert_text_for_incorrect_data_format","Test alert text for fields with incorrect data format"
"passed","Thu Jun 06 19:37:04 UTC 2024","Thu Jun 06 19:37:07 UTC 2024","3553","tests","Registration","","","","test_terms_link","Test that ""here"" link opens the terms window"
"passed","Thu Jun 06 19:28:01 UTC 2024","Thu Jun 06 19:28:07 UTC 2024","6689","tests","test_account_page","TestAccountPage","","","test_clear_date_picker","Test if date in the data picker can be cleared"
"passed","Thu Jun 06 19:36:20 UTC 2024","Thu Jun 06 19:36:24 UTC 2024","4234","tests","test_product_page","","","","test_size_guide_modal_opens","Test the Size Guide link opens the size guide modal, Add Size button is present in the modal"
"passed","Thu Jun 06 19:37:00 UTC 2024","Thu Jun 06 19:37:03 UTC 2024","3074","tests","Registration","","","","test_alert_text_for_short_password","Test alert text for too short password"
"passed","Thu Jun 06 19:37:14 UTC 2024","Thu Jun 06 19:37:24 UTC 2024","10343","tests","test_search","TestSearch","","","test_positive_search","Positive search leads to the correct search resul page, check the total products found"
"passed","Thu Jun 06 19:28:28 UTC 2024","Thu Jun 06 19:28:39 UTC 2024","11608","tests","test_account_page","TestAccountPage","","","test_updated_user_info_message","Test if info message appears/disappears after updating the user info"
"passed","Thu Jun 06 19:35:36 UTC 2024","Thu Jun 06 19:35:46 UTC 2024","10821","tests","test_product_listing_page","","","","test_price_slider","Test price slider changes the min and max price"
"passed","Thu Jun 06 19:37:30 UTC 2024","Thu Jun 06 19:38:08 UTC 2024","37449","tests","test_user_flow","TestUserFlow","","","test_buy_product_as_registered_user","Select a product on PLP and place an order as a registered user"
"passed","Thu Jun 06 19:32:33 UTC 2024","Thu Jun 06 19:32:43 UTC 2024","9432","tests","test_favourites","TestFavourites","","","test_add_to_favourites_from_pdp_as_user","Test As a user, add product to Favorites from PDP and check the favorites page"
"passed","Thu Jun 06 19:34:02 UTC 2024","Thu Jun 06 19:34:05 UTC 2024","2981","tests","Login","","","","test_login_with_incorrect_email_format","Test login with incorrect email format"
